,Country,Lat,Long,Population,GrowthRate,Area,Density,Airports,GDP
0,Afghanistan,33.0,65.0,38041.754,1.0233,652230.0,58.3257,22.0,74792.0
1,Albania,41.1533,20.1683,2880.917,0.9989,28748.0,100.2128,5.0,38078.0
2,Algeria,28.0339,1.6596,43053.054,1.0185,2381741.0,18.0763,44.0,638363.0
3,Andorra,42.5063,1.5218,,,,,,
4,Angola,-11.2027,17.8739,31825.295,1.0327,1246700.0,25.5276,25.0,199329.0
5,Antigua and Barbuda,17.0608,-61.7964,97.118,1.0084,442.0,219.724,2.0,2506.0
6,Argentina,-38.4161,-63.6167,44780.677,1.0093,2780400.0,16.1058,96.0,864887.0
7,Armenia,40.0691,45.0382,2957.731,1.0019,29743.0,99.4429,5.0,33141.0
8,Australia,-31.9961875,141.2327875,25203.198,1.0118,7692024.0,3.2765,334.0,1279361.0
9,Austria,47.5162,14.5501,8955.102,1.0057,83871.0,106.7723,20.0,446265.0
10,Azerbaijan,40.1431,47.5769,10047.718,1.0091,86600.0,116.0245,8.0,184418.0
11,Bahamas,25.0343,-77.3963,389.482,1.0097,13943.0,27.9339,34.0,11807.0
12,Bahrain,26.0275,50.55,1641.172,1.0368,765.0,2145.3229,2.0,74649.0
13,Bangladesh,23.685,90.3563,163046.161,1.0101,147570.0,1104.8734,10.0,860916.0
14,Barbados,13.1939,-59.5432,287.025,1.0012,430.0,667.5,1.0,5051.0
15,Belarus,53.7098,27.9534,9452.411,0.9997,207600.0,45.5318,12.0,184593.0
16,Belgium,50.8333,4.0,11539.328,1.0044,30528.0,377.9916,24.0,536621.0
17,Belize,13.1939,-59.5432,390.353,1.0186,22966.0,16.997,3.0,2974.0
18,Benin,9.3077,2.3158,11801.151,1.0273,112622.0,104.7855,3.0,42749.0
19,Bhutan,27.5142,90.4336,763.092,1.0112,38394.0,19.8753,3.0,8200.0
20,Bolivia,-16.2902,-63.5887,11513.1,1.0139,1098581.0,10.48,24.0,91225.0
21,Bosnia and Herzegovina,43.9159,17.6791,3301.0,0.9939,51209.0,64.4613,4.0,47540.0
22,Botswana,-22.3285,24.6849,2303.697,1.0208,582000.0,3.9582,16.0,41809.0
23,Brazil,-14.235,-51.9253,211049.527,1.0072,8515767.0,24.7834,264.0,3316920.0
24,Brunei,4.5353,114.7277,433.285,1.0097,5765.0,75.1578,2.0,37342.0
25,Bulgaria,42.7339,25.4858,7000.119,0.9926,110879.0,63.133,13.0,165130.0
26,Burkina Faso,12.2383,-1.5616,20321.378,1.0286,272967.0,74.4463,2.0,48553.0
