Country,TDA_anomaly_dict_1,TDA_anomaly_dict_2,TDA_anomaly_dict_3,TDA_anomaly_dict_4,TDA_final,TDA_final_code,TDA_final_short,TDA_final_short_code
Afghanistan,1.0,1.0,1.0,9.0,"Rare infected, speed up in May",9,Outliers,6
Albania,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Algeria,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Andorra,3.0,8.0,16.0,16.0,"Small Countries, infected early March",14,Outliers,6
Angola,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Antigua and Barbuda,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Argentina,1.0,1.0,1.0,9.0,"Rare infected, speed up in May",9,Outliers,6
Armenia,3.0,1.0,9.0,16.0,Medium infection,11,Medium infection,5
Australia,1.0,1.0,1.0,14.0,"Small infected, stopped in April",8,Outliers,6
Austria,3.0,1.0,11.0,16.0,Medium infection,11,Medium infection,5
Azerbaijan,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Bahamas,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Bahrain,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Bangladesh,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Barbados,1.0,1.0,1.0,15.0,"Small infected, stopped in April",8,Outliers,6
Belarus,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Belgium,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Belize,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Benin,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Bhutan,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Bolivia,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Bosnia and Herzegovina,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Botswana,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Brazil,3.0,1.0,9.0,16.0,Medium infection,11,Medium infection,5
Brunei,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Bulgaria,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Burkina Faso,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Burma,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Burundi,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Cabo Verde,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Cambodia,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Cameroon,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Canada,3.0,1.0,9.0,16.0,Medium infection,11,Medium infection,5
Central African Republic,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Chad,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Chile,3.0,1.0,15.0,16.0,"Medium infection, speed up in May",13,Outliers,6
China,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Colombia,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Comoros,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Costa Rica,1.0,1.0,1.0,8.0,"Rare infected, stopped in April",5,Outliers,6
Cote d'Ivoire,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Croatia,3.0,1.0,4.0,16.0,Medium infection,11,Medium infection,5
Cuba,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Cyprus,3.0,1.0,4.0,16.0,Medium infection,11,Medium infection,5
Czechia,3.0,1.0,5.0,16.0,Medium infection,11,Medium infection,5
Democratic Republic of the Congo,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Denmark,3.0,1.0,8.0,16.0,Medium infection,11,Medium infection,5
Diamond Princess,2.0,16.0,16.0,16.0,Ships,1,Quasi countries,0
Djibouti,3.0,1.0,9.0,16.0,Medium infection,11,Medium infection,5
Dominica,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Dominican Republic,3.0,1.0,6.0,16.0,Medium infection,11,Medium infection,5
Ecuador,3.0,1.0,9.0,16.0,Medium infection,11,Medium infection,5
Egypt,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
El Salvador,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Equatorial Guinea,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Eritrea,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Estonia,3.0,1.0,8.0,16.0,Medium infection,11,Medium infection,5
Eswatini,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Ethiopia,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Fiji,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Finland,3.0,1.0,5.0,16.0,Medium infection,11,Medium infection,5
France,3.0,1.0,14.0,16.0,Medium infection,11,Medium infection,5
Gabon,3.0,1.0,5.0,16.0,Medium infection,11,Medium infection,5
Gambia,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Georgia,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Germany,3.0,1.0,10.0,16.0,Medium infection,11,Medium infection,5
Ghana,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Greece,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Grenada,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Guatemala,1.0,1.0,1.0,9.0,"Rare infected, speed up in May",9,Outliers,6
Guinea,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Guinea-Bissau,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Guyana,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Haiti,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Holy See,3.0,12.0,16.0,16.0,Holy See,0,Quasi countries,0
Honduras,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Hungary,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Iceland,3.0,3.0,16.0,16.0,"Small Countries, infected early March",14,Outliers,6
India,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Indonesia,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Iran,3.0,1.0,7.0,16.0,Medium infection,11,Medium infection,5
Iraq,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Ireland,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Israel,3.0,1.0,10.0,16.0,Medium infection,11,Medium infection,5
Italy,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Jamaica,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Japan,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Jordan,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Kazakhstan,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Kenya,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Kosovo,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Kuwait,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Kyrgyzstan,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Laos,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Latvia,3.0,1.0,3.0,16.0,Medium infection,11,Medium infection,5
Lebanon,1.0,1.0,1.0,7.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Lesotho,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Liberia,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Libya,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Liechtenstein,3.0,1.0,15.0,16.0,"Medium infection, speed up in May",13,Outliers,6
Lithuania,3.0,1.0,4.0,16.0,Medium infection,11,Medium infection,5
