Country,alpha3,date,School closing,Workplace closing,Cancel public events,Restrictions on gatherings,Close public transport,Stay at home requirements,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Fiscal measures,International support,Public information campaigns,Testing policy,Contact tracing,Emergency investment in healthcare,Investment in vaccines
Afghanistan,AFG,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
