,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22
Afghanistan,30604.20476805138,31456.63007200813,32197.16754056393,32920.13631387558,33643.10508718722,34366.073860498866,35089.04263381051,35812.011407122154,36534.9801804338,37257.94895374545,37980.917727057094,38703.88650036874,39426.85527368038,40149.82404699203,40872.79282030367,41595.761593615316,42318.73036692697,43041.69914023861,43764.667913550256,44487.6366868619,45210.605460173545,45933.57423348519,46656.543006796834,47379.51178010848,48102.48055342013,48825.449326731774,49548.41810004342,50271.38687335506,50994.35564666671,51717.32441997835,52440.293193289996,53163.26196660164,53886.23073991329,54609.199513224936,55332.16828653658,56055.137059848224,56778.10583315987,57501.07460647151,58224.04337978316,58947.01215309481,59669.98092640645,60392.9496997181,61115.91847302974,61838.887246341386,62561.85601965303,63284.824792964675,64007.79356627632,64730.76233958797,65453.731112899615,66176.69988621125,66899.6686595229,67622.63743283456,68345.60620614619,69068.57497945784,69791.54375276947,70514.51252608113,71237.48129939276,71960.45007270442,72683.41884601605,73406.38761932771,74129.35639263935,74852.325165951,75575.29393926264,76298.26271257429,77021.23148588593,77744.20025919758,78467.16903250922,79190.13780582088,79913.10657913251,80636.07535244417,81359.0441257558,82082.01289906746,82804.98167237909,83527.95044569075,84250.91921900238,84973.88799231403,85696.85676562568,86419.82553893732,87142.79431224897,87865.76308556061,88588.73185887226,89311.7006321839,90034.66940549554,90757.6381788072,91480.60695211883,92203.57572543049,92926.54449874212,93649.51327205378,94372.48204536541,95095.45081867707
Albania,2378.888018460301,2651.3023035058623,2931.7453550900927,3220.8110241517907,3519.2017208467178,3827.748254555215,4147.4367057260015,4479.450437551789,4825.214890561319,5186.578154555254,5565.812011070012,5965.627265677771,6389.222634098226,6837.550798562028,7303.160931638059,7786.165677445009,8286.60551921021,8804.17703053982,9338.246938061004,9888.26777687011,10454.185773927818,11035.924309709291,11633.405457780575,12246.621853432136,12875.698474110215,13520.821689125374,14182.204098954682,14860.110894943382,15554.891444004672,16266.966734622802,16996.81863288218,17744.99590201971,18512.118993933676,19298.88347847506,20106.061871401263,20934.505646891772,21785.5148885486,22660.236996716525,23559.931903894103,24486.013812032583,25440.06259418906,26423.86753303455,27439.3188588589,28488.47735643689,29573.58715948322,30697.07607761062,31861.550091403882,33069.771050745,34324.65014601804,35629.22134764255,36986.60062524515,38399.93151630315,39872.31788895886,41406.748037231264,43006.010328816876,44672.60950963816,46408.701933835655,48216.04127843421,50095.99600400337,52049.57178180957,54077.47816108589,56180.19777737141,58358.060573887815,60611.336827570085,62940.30193626321,65345.28690603801,67826.71368770428,70385.12508350637,73021.2153201004,75735.86154610077,78530.16302707844,81405.49197129991,84363.56121260852,87406.51383190083,90537.041394391,93758.54052208904,97075.31954770687,100492.66414923102,104017.2795544886,107657.50725925228,111423.66605448387,115328.0173378851,119384.76398797789,123609.59896908379,128024.54723821659,132666.38515619558,137555.38222568258,142698.80903138834,148095.20289075465,153731.45678836456
Algeria,15238.995081926403,18279.62887353525,21369.827256019245,24509.680836467407,27699.399605093906,30939.498489431146,34230.68502188591,37573.86539371809,40970.15855420092,44420.91005723208,47927.71507768505,51492.42672936334,55117.179117101754,58804.414977705215,62556.9178922449,66377.85102076318,70270.77333870436,74239.35656507617,78287.81959551077,82421.24795917793,86645.74564212436,90968.69735010508,95398.31595897434,99944.22525374408,104617.78824228526,109432.47105129689,114404.28007287325,119554.48219383504,124907.36815631253,130492.09263076352,136298.9513558035,142332.0701660206,148531.1888643787,154885.787571121,161392.4749457682,168046.02554770958,174839.83451192902,181763.18755375585,188812.39057030794,195984.90150386567,203277.90005652737,210688.73913711333,218214.98213160184,225855.81256162337,233610.0013262329,241476.53571455705,249454.95735278857,257545.1435457867,265747.30327293853,274061.8566888994,282489.6078761633,291031.63104360306,299689.2640949852,308464.1091779094,317358.037691488,326373.20860354294,335512.04047706246,344777.21556366654,354171.68354351434,363698.66520691296,373361.6534569197,383164.40917640564,393110.9622245318,403205.6105987597,413452.9175177153,423852.55357876245,434401.17916814075,445104.4387865631,455961.4848568254,466968.96019077324,478121.4793278308,489411.90428615006,500830.45640542055,512360.4105065757,523979.98402510834,535662.0669262189,547374.8829899238,559081.6537619345,570751.2929876364,582343.8024046462,593830.1022098183,605193.1487140448,616409.8512036974,627486.8926777833,638408.694276438,649173.7309940688,659808.0065627138,670323.8753543611,680727.1127384097,691020.145477886
Andorra,3596.1857038562935,6378.458669654747,9200.90863021329,12062.879172756033,14963.823435528535,17903.349038436765,20880.785681621284,23895.696524643245,26947.969157192038,30037.589453986064,33164.622102914574,36329.18771959621,39531.481898793325,42771.7384893186,46050.33700071521,49367.88016034308,52725.22745253082,56123.43136589396,59563.632726928205,63047.173794696115,66575.624310044,70150.79485242788,73774.74027486156,77449.77712652477,81178.53272714034,84963.984961646,88809.5077000708,92718.92560580708,96696.62567121391,100747.55282536708,104877.32469702816,109092.426414735,113400.39634327,117803.46818874293,122291.05575152484,126862.96047968883,131518.72619785983,136258.34716427512,141082.1711916453,145988.9949646441,150959.21368670862,155977.83498735834,161040.02415977386,166141.52795498827,171278.27708954024,176445.48647271685,181638.7149881286,186854.96961842803,192090.88481591237,197341.28963801998,202605.0413568233,207882.06309085866,213173.1051407774,218476.06685024698,223790.72128521255,229117.5062713202,234456.47831684307,239807.50796891126,245169.99661074678,250544.45111570365,255929.2446020362,261322.4332949988,266721.4820786545,272123.66464176663,277525.66499625315,282922.98927741515,288311.9381759736,293688.697607145,299049.304438992,304389.57602209895,309705.18877721205,314991.62074108206,320241.62161188736,325449.3656471842,330608.77077365207,335713.4835848277,340756.97082158,345732.7593090564,350634.4039975857,355455.41402186104,360189.32350195595,364829.7925362471,369367.9313010877,373794.3972320038,378102.10334751266,382284.64577347273,386337.1891987654,390263.045905656,394047.8759550898,397665.8885088315
Argentina,54989.208387176164,60315.50897078065,65854.79157310342,71637.2892245181,77685.63371024009,83906.40634345353,90294.60825190916,96845.81960755569,103553.11411839235,110406.83320631598,117394.29136335,124510.7645752772,131751.8921685392,139113.0129729582,146589.73630003733,154178.3348898096,161876.17830204876,169680.915134283,177590.43598543596,185602.9791381485,193717.14514984353,201931.86224681223,210246.28391213712,218659.78404443618,227171.9596590775,235782.6149117084,244491.74112029886,253299.49751759687,262206.20408550795,271212.3337313118,280318.5020816226,289525.45789687696,298835.7364394333,308251.06373002136,317772.7710425683,327402.36344607244,337141.5304554417,346992.6841484999,356958.19983030536,367040.6749979315,377243.1350260993,387568.38566504524,398019.8025395179,408601.0391304877,419316.10808447166,430169.4257163342,441165.78776007885,452310.403846059,463608.921177984,475067.46097699786,486692.652558098,498491.6615563253,510472.22533966386,522638.17974740785,534989.7883208353,547530.3468156167,560261.0201218497,573180.4762425611,586284.0278263207,599563.1644082663,613004.7210145614,626588.7203084945,640286.4613487324,654062.996415071,667869.016191367,681643.3309228962,695318.869218051,708833.5841265934,722143.3619193163,735245.8779966976,748153.9778937817,760931.3018828969,773543.7226365319,785999.355922379,798333.040518464,810561.3441520652,822689.4032419962,834709.443865073,846620.7924485052,858426.7934844454,870128.6205467004,881725.394794019,893215.2246287613,904597.3008719446,915871.1138029379,927035.6653465872,938089.6512516325,949031.7706465943,959860.867871692,970579.3347771986
Armenia,21921.73057002906,22124.700734469574,22325.951202089116,22525.5147859259,22723.418819222316,22919.68632091924,23114.33696441247,23307.388090038352,23498.85544282917,23688.753727789433,23877.09704572673,24063.89924842992,24249.174219376513,24432.93608606781,24615.19938266162,24795.979174150696,24975.29261893051,25153.15780162331,25329.591320397132,25504.6114696345,25678.238294184866,25850.493315880238,26021.352244638012,26190.81567787787,26358.89001971208,26525.58192370122,26690.898026520452,26854.847012876537,27017.43939111534,27178.686769611773,27338.601898088204,27497.19877070963,27654.49204405839,27810.483893363395,27965.182529755275,28118.601064371087,28270.75327861487,28421.65235305898,28571.31132082151,28719.7444037304,28866.966477923866,29012.992805917886,29157.83911502026,29301.521722621004,29444.057510768955,29585.46386441234,29725.758664855115,29864.960284884666,30003.087561716675,30140.15769757155,30276.186517799168,30411.192673775393,30545.195404658618,30678.21414273544,30810.26849424002,30941.951123028302,31073.50118968353,31205.04840732266,31336.734531138172,31468.71707707501,31601.133661906326,31734.08235186499,31867.644235153184,32001.887431781506,32136.86403440407,32272.04272160654,32407.27460501756,32542.42749805428,32677.3465898126,32811.85329854613,32945.77717583774,33078.947129343316,33211.18289279793,33342.296197314936,33472.091179871284,33600.34019624574,33726.79762220769,33851.21055237559,33973.31108414821,34092.81309008462,34209.411780329014,34322.785923835705,34432.59682904698,34538.02831882738,34638.706239248626,34734.34483925153,34824.59831515702,34909.2382206799,34988.26362794413,35061.49411924541
Australia,9136.058415194495,10645.269788583662,12068.377257891185,13382.722215446865,14609.200432029984,15754.003941097784,16835.842345176527,17915.74396162669,18996.74107364703,20074.98324906976,21151.590431102937,22228.712683414684,23306.886403100256,24385.978910232876,25466.01677104268,26547.05772188663,27629.080487101142,28712.043654390873,29795.922148744256,30880.69312154401,31966.327595596817,33052.7955270693,34140.06945782222,35228.12354478553,36316.9324241797,37406.47133779243,38496.7164435064,39587.64480573224,40679.23428090921,41771.463469707385,42864.31170611983,43957.759036714946,45051.78619097969,46146.37455369303,47241.50614073205,48337.163576031126,49433.33006907115,50529.989393252814,51627.125865250826,52724.72432524008,53822.7701179256,54921.249074349944,56020.147494444995,57119.45213028846,58219.15017003163,59319.22922246808,60419.67730221405,61520.48281547208,62621.63454635098,63723.121643717226,64824.9336085541,65927.06028180577,67029.49183268512,68132.2187474249,69235.231818453,70338.5221339736,71442.08106793674,72545.90027037995,73649.97165812612,74754.28740582283,75858.8399373089,76963.62191729459,78068.6262433427,79173.84603813833,80279.27464203553,81384.90560586979,82490.73268402577,83596.74982775013,84702.95117869975,85809.33106271624,86915.88398381787,88022.60461840036,89129.48780963891,90236.52856208319,91343.72203643847,92451.06354452563,93558.54854441322,94666.1726357153,95773.9315550489,96881.82117164499,97989.8374831076,99097.97661131535,100206.23479846034,101314.60840321954,102423.09389705364,103531.68786062892,104640.38698035773,105749.18804505326,106858.08794269478,107967.08365729889
Austria,17945.50123607969,18437.50581229271,18921.476463019255,19393.00995689381,19849.025321641388,20291.187323503284,20722.025207996627,21139.116205640206,21542.932324198133,21940.419245515674,22335.52620068644,22731.089426941064,23128.411759362592,23530.661923522322,23936.55558575222,24345.30272617894,24762.517165985595,25188.299298045742,25622.26286773819,26064.221540394763,26514.31859264556,26972.534220992147,27438.783579037612,27913.00768531768,28395.189160155813,28885.318067790344,29383.39483394634,29889.438450132253,30403.481196012843,30925.565845839512,31455.74924548688,31994.104161560317,32540.719090058803,33095.69789989344,33659.16018581347,34231.24183325752,34811.92734153246,35401.23580358513,35999.23861952126,36606.0238140842,37221.67540014412,37846.289475713354,38479.9759330112,39122.85661786762,39775.06509917591,40436.45486746925,41103.45967597639,41776.05070916907,42454.10913793722,43137.4205125103,43825.73766837939,44518.80941715407,45216.43562614837,45918.4863213429,46624.774342376164,47335.116531760534,48049.33864779198,48767.273242317475,49488.75767319172,50213.63255050414,50941.743407657246,51672.94085635334,52407.08036688924,53144.02218776984,53883.631353545345,54625.77771762639,55370.33591680029,56117.185318307995,56866.20996804039,57617.29853224215,58370.34422826506,59125.24474449567,59881.90215238455,60640.222811559855,61400.11726828038,62161.50014790962,62924.29004233487,63688.409393237576,64453.78437201358,65220.34475711062,65988.02380953895,66756.75814727419,67526.48761921845,68297.15517933146,69068.70676149079,69841.09115558582,70614.25988529582,71388.16708794796,72162.76939679933,72938.02582603662
Azerbaijan,15684.803725487483,17102.54160576925,18557.400183366786,20047.92406447009,21572.12746254664,23126.905735818287,24710.836062585586,26322.76265304787,27961.473984364802,29625.806115556832,31314.70332911526,33027.3692163315,34763.05403418946,36521.05927642357,38300.75638617742,40101.58649595552,41923.05586050632,43764.731157541144,45626.55840141514,47508.20548737479,49409.37767121881,51329.8610124568,53269.52401489787,55228.33102098914,57206.205093004726,59203.11132179402,61219.06651021305,63254.130713396204,65308.40102483319,67381.99868919942,69475.08292013507,71587.85190511963,73720.54074108791,75873.42102574103,78046.80142418592,80241.03080775792,82456.49958974455,84693.64099265219,86952.93302227264,89234.90093204251,91540.12010067873,93869.21894969107,96222.88221494328,98601.85468419515,101006.94536085955,103439.03205121584,105899.06638764452,108388.07936723364,110907.18744667333,113457.59921621109,116040.6226852862,118657.67321600023,121310.2821398745,124000.10607888758,126728.93697838097,129498.71284416043,132311.52915195902,135169.65086274568,138075.52492984777,141032.26410155476,144042.186084121,147105.4026561113,150223.39942232295,153397.05849861025,156626.55362406504,159910.7742157787,163246.97427836,166630.56293763267,170054.36154837502,173507.87746544057,176976.54676392488,180441.19454914806,183878.78963883297,187268.56737863796,190603.18588610974,193888.60260604223,197138.3706026598,200346.0373484695,203514.62983679437,206659.05762452594,209781.22168847386,212881.00227581864,215957.4336321652,219010.44817821516,222040.7792873906,225048.9129681422,228035.09954310503,230999.28814431027,233941.4345005924,236861.55563241147
Bahamas,134.00965268489736,164.6920078027293,196.06160444075695,228.1373619840857,260.94174430990256,294.501387886198,328.84703187529306,364.01592187578314,400.0514051321979,437.0036433775098,474.9307588508849,513.9000461249161,553.9877211396172,595.2768493280923,637.8896517539812,681.9559092657798,727.6322742327709,775.1146761409982,824.6405444476687,876.3895225625457,929.8346642924712,984.7509210488587,1041.103468438495,1098.8337462085847,1157.860553843385,1218.071350941196,1279.4112112277064,1341.8351536307664,1405.295591701841,1469.7475483674125,1535.15125489713,1601.4755902312797,1668.6914401690562,1736.7717182631748,1805.6921392770046,1875.4311436850235,1945.9695261977427,2017.2905470829176,2089.3919441212474,2162.2608235211155,2235.885740760132,2310.258352716767,2385.373509950698,2461.2297265281186,2537.82395005381,2615.154751369054,2693.2226925305163,2772.0300037592406,2851.580340795797,2931.8782944451536,3012.929918974514,3094.742769671521,3177.325823507408,3260.6894629424546,3344.845497774075,3429.8072849517507,3515.5897794043167,3602.2095823779205,3689.685016838379,3778.036221698101,3867.285261816403,3957.4562395589046,4048.575419943537,4140.671373638047,4233.77513629227,4327.9203840983355,4423.143626075699,4519.484416125219,4616.985586428444,4715.693503082962,4815.658345247604,4916.9344092164565,5019.580438823691,5123.6599830433715,5229.241781155323,5336.400175288766,5445.215549262103,5555.774791349196,5668.171776832694,5782.521672349344,5898.941174808073,6017.420068202565,6138.020128610224,6260.779400119783,6385.71109942049,6512.781996661287,6641.895177609717,6772.886644179106,6905.496045313751,7039.338874485269
